,name,gradyear
0,Bradley Bart,1996
1,Bobby Chan,2005
2,Ke Wang,1984
3,Richard T. Vaughan,1993
4,Richard (Hao) Zhang,1995
5,Ze-Nian Li,1970
6,Eugenia Ternovska,2002
7,Eugene Fiume,1981
8,Uwe Glässer,1999
9,Jacquie Nelsen,2003
10,"Popowich, Fred",1982
11,Ouldooz Baghban Karimi,
12,"Xie, Cynthia",
13,Greg Mori,1999
14,Jiangchuan Liu,1999
15,John Edgar,1984
16,KangKang Yin,1997
17,Valentine Kabanets,1993
18,Jiannan Wang,2008
19,Ke Li,2014
20,Steven Pearce,1981
21,Joseph G. Peters,1974
22,KEVAL VORA,2017
23,William N. Sumner,2005
24,Thomas C. Shermer,1984
25,Qianping Gu,1982
26,Tao Wang,2015
27,Janice Regan,1979
28,Robert D. Cameron,1977
29,"Cukierman, Diana",1989
30,"Alimadadi, Saba",2017
31,TIANZHENG WANG,2017
32,Anoop Sarkar,1991
33,Parmit Chilana,2005
34,"Fraser, Brian",2002
35,Kay C. Wiese,1991
36,Yagiz Aksoy,2011
37,Mohamed Hefeeda,1994
38,IGOR SHINKAR,2014
39,MANOLIS SAVVA,2009
40,Binay Bhattacharya,1982
41,SHEELAGH CARPENDALE,1992
42,Anne Lavergne,1991
43,David G. Mitchell,1989
44,Arrvindh Shriraman,2004
45,Martin Ester,1984
46,ANGEL CHANG,2015
47,Jian Pei,1991
48,James Delgrande,1977
49,Hang Ma,2012
50,Oliver Schulte,1992
51,Pavol Hell,1968
52,"Ping Tan, Associate Professor",2000
53,Ryan C.N. D'Arcy,1996
54,Toby Donaldson,1992
55,MO CHEN,2011
56,Andrei Bulatov,1991
57,YASUTAKA FURUKAWA,2001
58,Harinder Singh Khangura,1997
59,Victor Cheung,2004
60,Ghassan Hamarneh,1995
61,Angelica Lim,2008
62,MAXWELL LIBBRECHT,2011
63,Greg Baker,1998
