name,rank,area,profile,homepage,research_interests
Greg Baker,UNIVERSITY LECTURER, Instruction,http://www.sfu.ca/computing/people/faculty/gregbaker.html,http://www.cs.sfu.ca/~ggbaker/,[]
Andrei Bulatov,Professor," Constraint Satisfaction, Complexity of Computation",http://www.sfu.ca/computing/people/faculty/andreibulatov.html,http://www.cs.sfu.ca/~abulatov/,"['Constraint problems', 'Computational complexity', 'Combinatorics', 'Clone theory and universal algebra']"
Angel Chang,Assistant Professor," Natural Language Processing, Artificial Intelligence, Computer Graphics, Computer Vision",http://www.sfu.ca/computing/people/faculty/angelchang11111111.html,,"['natural language processing', 'grounded natural language understanding', 'linking natural language with visual and 3D representations', 'common sense reasoning for artificial intelligence']"
SHEELAGH CARPENDALE,PROFESSOR, Information Visualization,http://www.sfu.ca/computing/people/faculty/sheelaghcarpendale111111111.html,,"['Information Visualization,Interaction Design, Large Display Interaction, Visual Analytics, Personal Visualization, Human Computer Interaction, Interactive Technologies,Collaborative Interaction, Open Data, Data Empowerment']"
LEONID CHINDELEVITCH,ASSISTANT PROFESSOR, Computational Biology,http://www.sfu.ca/computing/people/faculty/leonidchindelevitch.html,http://www.sfu.ca/~leonid,"['Bioinformatics', 'Computational Biology', 'Computational Epidemiology of Infectious Diseases']"
Diana Cukierman,Senior Lecturer, Instruction,http://www.sfu.ca/computing/people/faculty/dianacukierman.html,,"['Computing Science Education', 'Learning strategies tailored to CS and STEM disciplines (see Academic Enhancement Program)', 'Pedagogy, active learning, communication skills', 'Artificial Intelligence']"
James P. Delgrande,Professor, Formal Aspects of Knowledge Representation,http://www.sfu.ca/computing/people/faculty/jamesdelgrande.html,http://www.cs.sfu.ca/~jim/,"['Knowledge representation and reasoning', 'Belief change', 'Reasoning about action and change', 'Nonmonotonic reasoning', 'Preference handling']"
Toby Donaldson,Senior Lecturer, Instruction,http://www.sfu.ca/computing/people/faculty/tobydonaldson.html,,[]
John Edgar,Senior Lecturer, Instruction,http://www.sfu.ca/computing/people/faculty/johnedgar.html,,[]
Martin Ester,Professor, Databases and Data Mining,http://www.sfu.ca/computing/people/faculty/martinester.html,https://author.sfu.ca/cf#/content/sfu/computing/people/faculty/martinester/people.html,"['Social network analysis', 'Recommender systems', 'Opinion mining and information extraction', 'Biological network analysis', 'Next-gen sequencing']"
