name,rank,area,profile,homepage
Yagiz Aksoy,Assistant Professor,"Computational Photography, Computer Graphics, Computer Vision And Deep Learning",http://www.sfu.ca/computing/people/faculty/yagizaksoy.html,http://yaksoy.github.io/
Saba Alimadadi,Assistant Professor,Software Engineering,http://www.sfu.ca/computing/people/faculty/sabaalimadadi.html,http://www.sfu.ca/computing/people/faculty/sabaalimadadi.html
Ouldooz Baghban Karimi,Limited-Term Lecturer,Data & Networks,http://www.sfu.ca/computing/people/faculty/ouldoozbaghbankarimi.html,
Brad Bart,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/bradleybart.html,http://www.cs.sfu.ca/~bbart/
Andrei Bulatov,Professor,"Constraint Satisfaction, Complexity Of Computation",http://www.sfu.ca/computing/people/faculty/andreibulatov.html,http://www.cs.sfu.ca/~abulatov/
Sheelagh Carpendale,Professor,Information Visualization,http://www.sfu.ca/computing/people/faculty/sheelaghcarpendale.html,https://www.cs.sfu.ca/~sheelagh/
Angel Chang,Assistant Professor,"Natural Language Processing, Artificial Intelligence, Computer Graphics",http://www.sfu.ca/computing/people/faculty/angelchang.html,http://angelxuanchang.github.io/
Victor Cheung,Limited-Term Lecturer,"Human-Computer Interaction, Interface And Interaction Design",http://www.sfu.ca/computing/people/faculty/victor-cheung.html,
Diana Cukierman,University Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/dianacukierman.html,
Toby Donaldson,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/tobydonaldson.html,
Martin Ester,Professor,Databases And Data Mining,http://www.sfu.ca/computing/people/faculty/martinester.html,https://sites.google.com/view/esterlab
Brian Fraser,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/brianfraser.html,http://www.cs.sfu.ca/~bfraser/
Uwe Glässer,Professor,"Software Technology, Distributed Communication Architectures",http://www.sfu.ca/computing/people/faculty/uweglasser.html,http://www.cs.sfu.ca/~glaesser/
Ghassan Hamarneh,Professor,"Medical Image Analysis (Computational/Artificial Intelligence, Computer Vision, Image Processing)",http://www.sfu.ca/computing/people/faculty/ghassanhamarneh.html,http://www.cs.sfu.ca/~hamarneh/
Hazra Imran,Limited-Term Lecturer,"Personalization And Adaptivity In Learning Systems, Game-Based Learning",http://www.sfu.ca/computing/people/faculty/hazra-imran.html,http://www.sfu.ca/computing/people/faculty/hazra-imran.html
Lawrence Kim,,"Human-Computer Interaction, Human-Robot Interaction",http://www.sfu.ca/computing/people/faculty/lawrence-kim.html,https://www.lhkim.com/
Anne Lavergne,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/annelavergne.html,http://www.cs.sfu.ca/~alavergn/
Maxwell Libbrecht,Assistant Professor,Computational Biology And Machine Learning,http://www.sfu.ca/computing/people/faculty/maxlibbrecht11.html,http://www.cs.sfu.ca/~maxwl/
Jiangchuan (Jc) Liu,Professor,Networking And Multimedia Communications,http://www.sfu.ca/computing/people/faculty/jiangchuanliu.html,http://www.cs.sfu.ca/~jcliu/
Ali Mahdavi-Amiri,Assistant Professor Of Professional Practice,"Visual Computing, Computer Graphics, Artificial Intelligence",http://www.sfu.ca/computing/people/faculty/ali-mahdavi-amiri.html,https://sites.google.com/site/alimahdaviamiri/
David Mitchell,Associate Professor,"Constraint Satisfaction, Algorithms For Deduction And Other Reasoning Tasks",http://www.sfu.ca/computing/people/faculty/davidmitchell.html,http://www.cs.sfu.ca/~mitchell/
Jian Pei,Professor,Databases And Data Mining,http://www.sfu.ca/computing/people/faculty/jianpei.html,http://www.cs.sfu.ca/~jpei/
Fred Popowich,Professor,Computational Linguistics And Logic Programming,http://www.sfu.ca/computing/people/faculty/fredpopowich.html,http://www.cs.sfu.ca/~popowich/
Anoop Sarkar,Professor,Computational Linguistics; Machine Learning; Probabilistic Grammars And Formal Language Theory,http://www.sfu.ca/computing/people/faculty/anoopsarkar.html,http://www.cs.sfu.ca/~anoop/
Oliver Schulte,Professor,"Machine Learning, Computational Logic, Computational Decision Theory",http://www.sfu.ca/computing/people/faculty/oliverschulte.html,http://www.cs.sfu.ca/~oschulte/
Igor Shinkar,Assistant Professor,Computational Complexity,http://www.sfu.ca/computing/people/faculty/igorshinkar.html,
Harinder Singh Khangura,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/harindersinghkhangura.html,http://www.cs.sfu.ca/~hskhangu/
Andrea Tagliasacchi,Associate Professor,"Computer Vision, Computer Graphics, Deep Learning",http://www.sfu.ca/computing/people/faculty/andrea-tagliasacchi.html,https://taiya.github.io
Sharan Vaswani,Assistant Professor,"Machine Learning, Optimization, Reinforcement Learning",http://www.sfu.ca/computing/people/faculty/sharan-vaswani.html,https://vaswanis.github.io/
Jiannan Wang,Associate Professor,Database Systems And Big Data,http://www.sfu.ca/computing/people/faculty/jiannanwang.html,https://www.cs.sfu.ca/~jnwang/
Tao Wang,Assistant Professor,"Machine Learning, Computer Security",http://www.sfu.ca/computing/people/faculty/tao-wang.html,https://www.cs.sfu.ca/~taowang
Yuepeng Wang,Assistant Professor,Programming Languages,http://www.sfu.ca/computing/people/faculty/yuepeng-wang.html,
Cynthia Xie,Senior Lecturer,Mandarin Chinese Instruction For The Dual Degree Program,http://www.sfu.ca/computing/people/faculty/cynthiaxie.html,
Kangkang Yin,Associate Professor,"Computer Animation, Computer Graphics, Humanoid Robotics, Machine Learning, Multimedia Analysis",http://www.sfu.ca/computing/people/faculty/kangkangyin.html,http://www.cs.sfu.ca/~kkyin/
Alaa Alameldeen,Associate Professor,"Computer Architecture, Computer Systems, Memory Systems/Security",http://www.sfu.ca/computing/people/faculty/alaa-alameldeen.html,http://www.cs.sfu.ca/~alaa/alaa_home.shtml
Matt Amy,Assistant Professor,Quantum Computing,http://www.sfu.ca/computing/people/faculty/matt-amy.html,https://www.cs.sfu.ca/~meamy/
Greg Baker,University Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/gregbaker.html,http://www.cs.sfu.ca/~ggbaker/
Steven Bergner,,Machine Learning,http://www.sfu.ca/computing/people/faculty/stevenbergner.html,
Robert D. Cameron,Professor,Software Engineering Languages; Electronic Publication,http://www.sfu.ca/computing/people/faculty/robertdcameron.html,http://www.cs.sfu.ca/~cameron/
Bobby Chan,Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/bobbychan.html#main_content_title,http://www.sfu.ca/computing/people/faculty/bobbychan.html#main_content_title
Mo Chen,Assistant Professor,Robotics And Autonomous Systems,http://www.sfu.ca/computing/people/faculty/mochen.html,https://sfumars.com/mo-chen/
Parmit Chilana,Associate Professor,Human-Computer Interaction,http://www.sfu.ca/computing/people/faculty/parmitchilana.html,http://hci.cs.sfu.ca/
Ryan C.N. D'Arcy,Professor,Neuroscience,http://www.sfu.ca/computing/people/faculty/ryandarcy.html,
John Edgar,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/johnedgar.html,
Eugene Fiume,Professor,Computer Graphics,http://www.sfu.ca/computing/people/faculty/eugenefiume.html,
Yasutaka Furukawa,Associate Professor,"Computer Vision, Deep Learning, Computer Graphics & Computational Photography",http://www.sfu.ca/computing/people/faculty/yasutakafurukawa1.html,http://www.cs.sfu.ca/~furukawa/
Qianping Gu,Professor,Network Communications And Algorithms,http://www.sfu.ca/computing/people/faculty/QianpingGu.html,http://www.cs.sfu.ca/~qgu/
Mohamed Hefeeda,Professor,"Computer Networks, Multimedia Communications",http://www.sfu.ca/computing/people/faculty/mohamedhefeeda.html,http://www.cs.sfu.ca/~mhefeeda/
Valentine Kabanets,Professor,"Complexity Of Computation, Automata And Logic",http://www.sfu.ca/computing/people/faculty/valentinekabanets.html,http://www.cs.sfu.ca/~kabanets/
Steven Ko,Associate Professor,Systems And Software Engineering,http://www.sfu.ca/computing/people/faculty/steven-ko.html,https://www.cs.sfu.ca/~steveyko/.
Ke Li,Assistant Professor,"Machine Learning, Computer Vision",http://www.sfu.ca/computing/people/faculty/ke-li.html,http://www.sfu.ca/~keli/
Angelica Lim,Assistant Professor Of Professional Practice,Human Robot Interaction,http://www.sfu.ca/computing/people/faculty/angelicalim.html,https://www.rosielab.ca/
Hang Ma,Assistant Professor,"Artificial Intelligence, Robotics, Multi-Agent/Robot Systems, Machine Learning",http://www.sfu.ca/computing/people/faculty/hangma.html,https://www.sfu.ca/~hangma/
Anders Miltner (Starting August 15Th,2022),Programming Languages,http://www.sfu.ca/computing/people/faculty/anders-miltner.html,https://www.cs.utexas.edu/~amiltner/
Steven Pearce,Lecturer,"Instruction, Computational Applied Mathematics",http://www.sfu.ca/computing/people/faculty/stevenpearce.html,http://www.cs.sfu.ca/~stevenp/
Jason Peng,,"Reinforcement Learning, Computer Animation, Robotics",http://www.sfu.ca/computing/people/faculty/jason-peng.html,https://xbpeng.github.io/
Janice Regan,Senior Lecturer,Instruction,http://www.sfu.ca/computing/people/faculty/janiceregan.html,http://www.cs.sfu.ca/~jregan/
Manolis Savva,Assistant Professor,"Computer Graphics, Computer Vision, Deep Learning",http://www.sfu.ca/computing/people/faculty/manolissavva.html,https://msavva.github.io/
Thomas C. Shermer,Professor,Computational Geometry And Computer Graphics,http://www.sfu.ca/computing/people/faculty/thomasshermer.html,http://www.cs.sfu.ca/~shermer/
Arrvindh Shriraman,Associate Professor,"Systems Architecture, Hardware-Software Interactions, Parallelism, Sychronization And Imporoving Software Reliability Within Specialized Fields.",http://www.sfu.ca/computing/people/faculty/ArrvindhShriraman.html,http://www.cs.sfu.ca/~ashriram/
William (Nick) Sumner,Associate Professor,"Software Development, Debugging",http://www.sfu.ca/computing/people/faculty/NickSumner.html,http://www.cs.sfu.ca/~wsumner/
Eugenia Ternovska,Associate Professor,"Logical In Computer Science, Descriptive Complexity",http://www.sfu.ca/computing/people/faculty/EugeniaTernovska.html,http://www.cs.sfu.ca/~ter/
