id,name,address,city,type
1,arnie morton's of chicago,435 s. la cienega blv.,los angeles,american
2,arnie morton's of chicago,435 s. la cienega blvd.,los angeles,steakhouses
3,art's delicatessen,12224 ventura blvd.,studio city,american
4,art's deli,12224 ventura blvd.,studio city,delis
5,hotel bel-air,701 stone canyon rd.,bel air,californian
6,bel-air hotel,701 stone canyon rd.,bel air,californian
7,cafe bizou,14016 ventura blvd.,sherman oaks,french
8,cafe bizou,14016 ventura blvd.,sherman oaks,french bistro
9,campanile,624 s. la brea ave.,los angeles,american
10,campanile,624 s. la brea ave.,los angeles,californian
11,chinois on main,2709 main st.,santa monica,french
12,chinois on main,2709 main st.,santa monica,pacific new wave
13,citrus,6703 melrose ave.,los angeles,californian
14,fenix,8358 sunset blvd. west,hollywood,american
15,fenix at the argyle,8358 sunset blvd.,w. hollywood,french (new)
16,granita,23725 w. malibu rd.,malibu,californian
17,grill on the alley,9560 dayton way,los angeles,american
18,grill  the,9560 dayton way,beverly hills,american (traditional)
19,restaurant katsu,1972 n. hillhurst ave.,los angeles,asian
20,katsu,1972 hillhurst ave.,los feliz,japanese
21,l'orangerie,903 n. la cienega blvd.,los angeles,french
22,l'orangerie,903 n. la cienega blvd.,w. hollywood,french (classic)
23,le chardonnay,8284 melrose ave.,los angeles,french
24,le chardonnay (los angeles),8284 melrose ave.,los angeles,french bistro
25,locanda veneta,3rd st.,los angeles,italian
26,locanda veneta,8638 w. third st.,los angeles,italian
27,matsuhisa,129 n. la cienega blvd.,beverly hills,asian
28,matsuhisa,129 n. la cienega blvd.,beverly hills,seafood
29,the palm,9001 santa monica blvd.,los angeles,american
30,palm  the (los angeles),9001 santa monica blvd.,w. hollywood,steakhouses
31,patina,5955 melrose ave.,los angeles,californian
32,philippe's the original,1001 n. alameda st.,los angeles,american
33,philippe the original,1001 n. alameda st.,chinatown,cafeterias
34,pinot bistro,12969 ventura blvd.,los angeles,french
35,pinot bistro,12969 ventura blvd.,studio city,french bistro
36,rex il ristorante,617 s. olive st.,los angeles,italian
37,rex il ristorante,617 s. olive st.,los angeles,nuova cucina italian
38,spago,1114 horn ave.,los angeles,californian
39,spago (los angeles),8795 sunset blvd.,w. hollywood,californian
40,valentino,3115 pico blvd.,santa monica,italian
41,yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles,asian
42,yujean kang's,67 n. raymond ave.,pasadena,chinese
43,21 club,21 w. 52nd st.,new york,american
44,21 club,21 w. 52nd st.,new york city,american (new)
45,aquavit,13 w. 54th st.,new york,continental
46,aquavit,13 w. 54th st.,new york city,scandinavian
47,aureole,34 e. 61st st.,new york,american
48,aureole,34 e. 61st st.,new york city,american (new)
49,cafe lalo,201 w. 83rd st.,new york,coffee bar
50,cafe lalo,201 w. 83rd st.,new york city,coffeehouses
51,cafe des artistes,1 w. 67th st.,new york,continental
52,cafe des artistes,1 w. 67th st.,new york city,french (classic)
53,carmine's,2450 broadway  between 90th and 91st sts.,new york,italian
54,carmine's,2450 broadway,new york city,italian
55,carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,delicatessen
56,carnegie deli,854 seventh ave.,new york city,delis
57,chanterelle,2 harrison st.  near hudson st.,new york,american
58,chanterelle,2 harrison st.,new york city,french (new)
59,daniel,20 e. 76th st.,new york,french
60,daniel,20 e. 76th st.,new york city,french (new)
61,dawat,210 e. 58th st.,new york,asian
62,dawat,210 e. 58th st.,new york city,indian
63,felidia,243 e. 58th st.,new york,italian
64,felidia,243 e. 58th st.,new york city,italian
65,four seasons grill room,99 e. 52nd st.,new york,american
66,four seasons,99 e. 52nd st.,new york city,american (new)
67,gotham bar & grill,12 e. 12th st.,new york,american
68,gotham bar & grill,12 e. 12th st.,new york city,american (new)
69,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york,american
70,gramercy tavern,42 e. 20th st.,new york city,american (new)
71,island spice,402 w. 44th st.,new york,tel caribbean
72,island spice,402 w. 44th st.,new york city,caribbean
73,jo jo,160 e. 64th st.,new york,american
74,jo jo,160 e. 64th st.,new york city,french bistro
75,la caravelle,33 w. 55th st.,new york,french
76,la caravelle,33 w. 55th st.,new york city,french (classic)
77,la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,french
78,la cote basque,60 w. 55th st.,new york city,french (classic)
79,le bernardin,155 w. 51st st.,new york,french
80,le bernardin,155 w. 51st st.,new york city,seafood
81,les celebrites,160 central park s,new york,french
82,les celebrites,155 w. 58th st.,new york city,french (classic)
83,lespinasse,2 e. 55th st.,new york,american
84,lespinasse (new york city),2 e. 55th st.,new york city,asian
85,lutece,249 e. 50th st.,new york,french
86,lutece,249 e. 50th st.,new york city,french (classic)
87,manhattan ocean club,57 w. 58th st.,new york,seafood
88,manhattan ocean club,57 w. 58th st.,new york city,seafood
89,march,405 e. 58th st.,new york,american
90,march,405 e. 58th st.,new york city,american (new)
91,mesa grill,102 5th ave.  between 15th and 16th sts.,new york,american
